turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,cop_norad_id,discos_object_class,discos_mission,discos_mass_kg,discos_shape,risk_sinifi,trend,hesap_utc
TURKSAT 4B,YAMAL 601,aktif_uydular,737.44,0.054,1168.28,725.69,-442.59,0.053,-11.75,0.0235,0.0003,42164.6181,35782.6806,35804.5556,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,44307,Payload,Commercial Communications,3162.0,Cyl + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 3A,TURKSAT 6A,aktif_uydular,57.23,0.001,1242.15,57.47,-1184.68,0.001,0.24,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,60233,Payload,Commercial Communications,4250.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,TURKSAT 6A,aktif_uydular,14.62,0.003,1242.15,21.64,-1220.51,0.003,7.02,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,60233,Payload,Commercial Communications,4250.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,TURKSAT 6A,aktif_uydular,39.07,0.004,1242.15,35.9,-1206.25,0.004,-3.17,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,60233,Payload,Commercial Communications,4250.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,TURKSAT 6A,aktif_uydular,0.0,0.0,1242.15,0.0,-1242.15,0.0,0.0,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,60233,Payload,Commercial Communications,4250.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4B,TURKSAT 4B,aktif_uydular,0.0,0.0,1255.26,0.0,-1255.26,0.0,0.0,0.0225,0.0002,42165.8559,35784.9511,35804.7606,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,40984,Payload,Commercial Communications,4928.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4B,TURKMENALEM52E/MONACOSAT,aktif_uydular,1462.5,0.106,1319.54,1474.63,155.09,0.107,12.13,0.0368,0.0003,42164.5598,35780.8978,35806.2219,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,40617,Payload,Commercial Communications,4700.0,Box + 2 Pan,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4B,BELINTERSAT-1,aktif_uydular,1065.82,0.078,1372.61,1079.18,-293.43,0.079,13.35,0.0259,0.0001,42164.4483,35787.3091,35799.5874,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,41238,Payload,Commercial Communications,5200.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 3A,TURKSAT 3A,aktif_uydular,0.0,0.0,1384.62,0.0,-1384.62,0.0,0.0,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,33056,Payload,Civil Communications,3010.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,TURKSAT 3A,aktif_uydular,60.33,0.004,1384.62,65.39,-1319.23,0.004,5.06,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,33056,Payload,Civil Communications,3010.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,TURKSAT 3A,aktif_uydular,26.11,0.006,1384.62,29.03,-1355.59,0.006,2.92,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,33056,Payload,Civil Communications,3010.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,TURKSAT 3A,aktif_uydular,57.23,0.001,1384.62,57.47,-1327.15,0.001,0.24,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,33056,Payload,Civil Communications,3010.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,EXPRESS-AM7,aktif_uydular,1460.0,0.107,1467.13,1449.28,-17.85,0.106,-10.72,0.0138,0.0003,42164.5511,35780.7626,35806.3397,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,40505,Payload,Commercial Communications,5712.0,Cyl + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,EXPRESS-AM7,aktif_uydular,1477.56,0.108,1467.13,1475.69,8.56,0.108,-1.86,0.0138,0.0003,42164.5511,35780.7626,35806.3397,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,40505,Payload,Commercial Communications,5712.0,Cyl + 2 Pan,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,EXPRESS-AM7,aktif_uydular,1467.86,0.107,1467.13,1466.98,-0.15,0.107,-0.89,0.0138,0.0003,42164.5511,35780.7626,35806.3397,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,40505,Payload,Commercial Communications,5712.0,Cyl + 2 Pan,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5A,ARABSAT-6A,aktif_uydular,301.65,0.023,1554.91,307.68,-1247.23,0.023,6.03,0.0254,0.0003,42165.372,35783.0801,35805.6639,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,44186,Payload,Commercial Communications,6465.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5A,ARABSAT-5A,aktif_uydular,290.12,0.022,1573.22,296.08,-1277.14,0.023,5.96,0.0664,0.0004,42165.3885,35779.0277,35809.7494,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,36745,Payload,Commercial Communications,4839.0,Box + 2 Pan + 1 Dish,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4B,EUTELSAT 36B,aktif_uydular,409.84,0.026,1597.53,414.7,-1182.83,0.026,4.86,0.2866,0.0006,42165.3815,35769.7021,35819.0609,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,36101,Payload,Commercial Communications,5627.0,Box + 2 Pan + 1 Dish,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,STARLINK-5757,aktif_uydular,11063.01,15.132,1658.48,1801.76,143.28,9.781,-9261.26,43.0,0.0002,6861.7979,489.6759,491.9198,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,55580,Payload,Commercial Communications,260.0,Box + 1 Pan,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
